Welche Farbe hat Super Marios Mütze?;Rot;Grün;Blau;Schwarz
Welche Farbe hat Luigis Mütze?;Grüne;Rot;Blau;Gelb
Wieviele Pokemon konnte man in den ersten Editionen Rot und Blau fangen?;151;250;100;99
Welches Unternehmen entwickelte die ersten Monkey Island-Spiele?;LucasArts;ID Software;Blizzar;Epic
Wer steckt hinter den Stimmen von Mario, Luigi, Wario, Waluigi und Toadsworth?;Charles Martinet;Shigeru Miyamoto;Carcelo Ferretti;Koji Kondo
Wie heißt das Mafia-Spiel aus dem Jahr 2002, in dem man Tommy Angelo im Amerika der 1930er-Jahre spielt?;Mafia;Grand Theft Auto;Dirty Money;Mob Wars
Wie heißt das Maskottchen von "Sega"?;Sonic;Titus;Aero;Frank
Was sind sogenannte "TD-Games"?;Tower Defense;Technic Drag;Spiele von Total Delaware;Spiele von Tony Dennis
In welcher Spiele-Serie befindet man sich im fiktiven Land "Albion"?;Fable;Warcraft;Guild Wars;Heroes of Time
In welchem Spiel aus dem Jahr 2008 hat Rockstar Games einen großen Teil von New York nacherstellt, in dem man Niko Bellic in der Stad "Libery City" spielen kann?;GTA 4;Drone Tactics;Fallout New York;Liberty City
Welches Computerspiel gibt es wirklich?;Serious Sam;Devot War;Generous Sam;Jealous Hint
Wie heißt der Computer, der einen im Spiel "Portal" (2007) töten will?;Glados;Enigma;Windorws;Kafka
Wie viele Teile von "Donkey Kong Country" gibt es für den Super Nintendo?;3;4;2;5
Welcher berühmte Skateboarder hat seine eigene Videospielreihe?;Tony Hawk;Bam Margera;Rodney Mullen;Veeman
Welches der folgenden Spiele wurde im Jahr 2010 in Europa veröffentlicht?;Starcraf 2;Diablo 3;Boarderland;Counter Strike Global Offensive
Welches Level kann man im Online-Computerspiel "League of Legends" maximal erreichen?;30;25;60;50
Welchen Beruf hat Super Mario?;Klemptner;Arbeitslos;Zimmerer;Maurer
Welche Art von Charakter ist "Mega Man"?;Roboter;Unternehmer;Riese;Astronaut
Was ist "Steed" im Videospiel GTA IV?;LKW;SUV;Hubschrauber;Motorrad
In welchem fiktiven "Land" spielt "Zelda: Ocarina of Time"?;Hyrule;Lorule;Pandora;Mirage
